price,ann_date,type,category,const_type,net_m2,brut_m2,room,age,floor,no_of_floor,heating,due,deposit,no_of_bathroom,no_of_wc,in_site,furniture,location
"2,250TL",23 Şubat 2021,Konut,Kiralık,Betonarme,110 m2,130 m2,3+1,20 Ve Üzeri,3. Kat,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Ümraniye
"1,000TL",23 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,100 m2,2+1,11-20,4. Kat,4,Kombi Doğalgaz,0 TL,1.000 TL,1,2,Hayır,Boş,Pendik
"38,000TL",23 Şubat 2021,Konut,Kiralık,Betonarme,110 m2,120 m2,3+1,1,Villa Tipi,1,Kombi Doğalgaz,Belirtilmemiş,38.000 TL,1,1,Hayır,Boş,Üsküdar Kiralık Yalı (Komple)
"4,150TL",23 Şubat 2021,Konut,Kiralık,Betonarme,110 m2,127 m2,3+1,20 Ve Üzeri,2. Kat,3,Kombi Doğalgaz,1 TL,4.150 TL,1,2,Hayır,Boş,Sarıyer
"2,500TL",23 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,95 m2,2+1,20 Ve Üzeri,4. Kat,4,Kombi Doğalgaz,30 TL,2.500 TL,1,2,Hayır,Boş,Üsküdar
"7,000TL",23 Şubat 2021,Konut,Kiralık,Betonarme,584 m2,585 m2,3+1,20 Ve Üzeri,Müstakil,2,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,4,Belirtilmemiş,Hayır,Belirtilmemiş,Sancaktepe Kiralık Müstakil Ev
"1,600TL",23 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,80 m2,2+1,20 Ve Üzeri,5. Kat,5,Kombi Doğalgaz,20 TL,1.600 TL,1,2,Hayır,Boş,Üsküdar
"3,950TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,155 m2,185 m2,4+1,5-10,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Şişli
"1,600TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,48 m2,60 m2,1+1,5-10,4. Kat,9,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Ümraniye
"3,500TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,35 m2,50 m2,1+1,5-10,4. Kat,5,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Kağıthane
"2,550TL",22 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,90 m2,2+1,4,1. Kat,5,Merkezi Doğalgaz,250 TL,5.000 TL,1,1,Evet,Eşyalı,Beylikdüzü
"6,000TL",22 Şubat 2021,Konut,Kiralık,Betonarme,110 m2,140 m2,3+1,3,10. Kat,15,Merkezi (Pay Ölçer),300 TL,12.000 TL,2,2,Hayır,Boş,Kadıköy
"1,750TL",22 Şubat 2021,Konut,Kiralık,Betonarme,80 m2,90 m2,1+1,20 Ve Üzeri,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Eşyalı,Küçükçekmece
"1,450TL",22 Şubat 2021,Konut,Kiralık,Betonarme,45 m2,55 m2,1+1,11-20,Düz Giriş,5,Kombi Doğalgaz,Belirtilmemiş,1.450 TL,1,1,Hayır,Boş,Kağıthane
"2,100TL",22 Şubat 2021,Konut,Kiralık,Betonarme,50 m2,65 m2,1+1,20 Ve Üzeri,Bahçe Katı,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Bakırköy
"3,250TL",22 Şubat 2021,Konut,Kiralık,Betonarme,125 m2,140 m2,3+1,5-10,4. Kat,5,Merkezi Doğalgaz,50 TL,3.250 TL,1,1,Hayır,Boş,Şişli
"1,600TL",22 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,80 m2,2+1,20 Ve Üzeri,Yüksek Giriş,4,Kombi Doğalgaz,Belirtilmemiş,1.600 TL,1,1,Hayır,Boş,Üsküdar
"7,500TL",22 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,130 m2,2+1,4,4. Kat,26,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,2,Evet,Eşyalı,Gaziosmanpaşa Kiralık Residenc
"10,000TL",22 Şubat 2021,Konut,Kiralık,Betonarme,140 m2,187 m2,3+1,4,4. Kat,26,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,2,Evet,Eşyalı,Gaziosmanpaşa Kiralık Residenc
650TL,22 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,100 m2,2+1,5-10,2. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Yok,Hayır,Eşyalı,Avcılar
"2,000TL",22 Şubat 2021,Konut,Kiralık,Betonarme,85 m2,90 m2,2+1,20 Ve Üzeri,2. Kat,5,Kombi Doğalgaz,Belirtilmemiş,2.500 TL,1,1,Hayır,Eşyalı,Bahçelievler
"3,000TL",22 Şubat 2021,Konut,Kiralık,Betonarme,65 m2,75 m2,2+1,5-10,1. Kat,4,Kombi Doğalgaz,60 TL,3.000 TL,1,1,Hayır,Boş,Üsküdar
"4,500TL",22 Şubat 2021,Konut,Kiralık,Betonarme,100 m2,120 m2,3+1,11-20,5. Kat,12,Kombi Doğalgaz,469 TL,9.000 TL,2,2,Evet,Boş,Küçükçekmece
"1,500TL",22 Şubat 2021,Konut,Kiralık,Betonarme,85 m2,90 m2,2+1,20 Ve Üzeri,5. Kat,6,Merkezi Doğalgaz,135 TL,2.500 TL,1,2,Hayır,Boş,Bahçelievler
"2,250TL",22 Şubat 2021,Konut,Kiralık,Betonarme,55 m2,60 m2,1+1,5-10,Yüksek Giriş,3,Kombi Doğalgaz,50 TL,3.000 TL,1,1,Hayır,Eşyalı,Ataşehir
"2,600TL",22 Şubat 2021,Konut,Kiralık,Betonarme,70 m2,80 m2,2+1,11-20,Yüksek Giriş,4,Kombi Doğalgaz,Belirtilmemiş,2.600 TL,1,1,Hayır,Boş,Sarıyer
"10,000TL",22 Şubat 2021,Konut,Kiralık,Betonarme,290 m2,350 m2,7+1,11-20,5. Kat,5,Kombi Doğalgaz,Belirtilmemiş,10.000 TL,2,1,Hayır,Boş,Sarıyer
"5,500TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,110 m2,168 m2,3+1,4,1. Kat,30,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Ataşehir
"1,200TL",23 Şubat 2021,Konut,Kiralık,Betonarme,60 m2,75 m2,1+1,20 Ve Üzeri,Düz Giriş,4,Kombi Doğalgaz,30 TL,1.200 TL,1,Belirtilmemiş,Hayır,Belirtilmemiş,Ataşehir
"3,000TL",22 Şubat 2021,Konut,Kiralık,Betonarme,120 m2,130 m2,3+1,20 Ve Üzeri,4. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Eşyalı,Bahçelievler
"1,500TL",23 Şubat 2021,Konut,Kiralık,Betonarme,50 m2,65 m2,1+1,0 (Yeni),2. Kat,6,Merkezi (Pay Ölçer),320 TL,3.000 TL,1,1,Hayır,Eşyalı,Pendik
"1,750TL",23 Şubat 2021,Konut,Kiralık,Betonarme,72 m2,80 m2,2+1,20 Ve Üzeri,3. Kat,5,Kombi Doğalgaz,25 TL,1.750 TL,1,1,Hayır,Boş,Fatih
"3,000TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,110 m2,127 m2,2+1,2,5. Kat,22,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Beylikdüzü Kiralık Residenc
650TLarrow_downward,23 Şubat 2021,Konut,Kiralık,Betonarme,35 m2,45 m2,1+1,20 Ve Üzeri,Düz Giriş,1,Isıtma Yok,Belirtilmemiş,650 TL,1,Belirtilmemiş,Hayır,Boş,Maltepe
"1,800TL",22 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,100 m2,2+1,5-10,3. Kat,7,Kombi Doğalgaz,Belirtilmemiş,2.500 TL,1,Belirtilmemiş,Hayır,Boş,Kartal
"2,000TL",22 Şubat 2021,Konut,Kiralık,Betonarme,25 m2,35 m2,Stüdyo,11-20,3. Kat,5,Kombi Doğalgaz,0 TL,2.000 TL,1,Belirtilmemiş,Hayır,Eşyalı,Ataşehir
"3,950TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,155 m2,185 m2,4+1,5-10,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Şişli
"2,100TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,49 m2,60 m2,1+1,5-10,2. Kat,10,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Sarıyer Kiralık Residenc
"1,500TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,25 m2,38 m2,Stüdyo,4,21. Kat,30,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Ataşehir
"2,200TL",24 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,100 m2,2+1,20 Ve Üzeri,1. Kat,4,Kombi Doğalgaz,Belirtilmemiş,2 TL,1,2,Hayır,Boş,Güngören
"2,500TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,85 m2,90 m2,2+1,20 Ve Üzeri,2. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Bahçelievler
"1,900TL",23 Şubat 2021,Konut,Kiralık,Betonarme,115 m2,120 m2,3+1,20 Ve Üzeri,2. Kat,4,Kombi Doğalgaz,30 TL,1.900 TL,1,2,Hayır,Belirtilmemiş,Küçükçekmece
"2,500TL",23 Şubat 2021,Konut,Kiralık,Betonarme,125 m2,135 m2,3+1,20 Ve Üzeri,3. Kat,7,Merkezi Doğalgaz,100 TL,2.500 TL,1,1,Hayır,Boş,Güngören
"3,100TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,105 m2,138 m2,2+1,5-10,4. Kat,16,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Esenyurt
"1,450TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,120 m2,125 m2,3+1,2,Çatı Dubleks,4,Kombi Doğalgaz,0 TL,0 TL,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sultanbeyli
"2,000TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,110 m2,2+1,20 Ve Üzeri,4. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Boş,Bakırköy
"4,250TL",23 Şubat 2021,Konut,Kiralık,Betonarme,61 m2,92 m2,1+1,4,7. Kat,24,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Evet,Boş,Gaziosmanpaşa
"1,200TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,80 m2,100 m2,2+1,3,1. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Pendik
"1,590TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,65 m2,70 m2,1+1,1,1. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Maltepe
"1,750TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,65 m2,75 m2,1+1,0 (Yeni),5. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Bahçelievler
"1,750TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,75 m2,85 m2,2+1,20 Ve Üzeri,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Maltepe
"1,500TL",22 Şubat 2021,Konut,Kiralık,Betonarme,140 m2,150 m2,3+1,11-20,Çatı Katı,4,Kombi Doğalgaz,60 TL,1.500 TL,1,2,Hayır,Boş,Ataşehir
"3,000TL",22 Şubat 2021,Konut,Kiralık,Betonarme,60 m2,70 m2,1+1,0 (Yeni),4. Kat,4,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Eyüpsultan
"2,000TL",22 Şubat 2021,Konut,Kiralık,Betonarme,140 m2,150 m2,3+1,20 Ve Üzeri,4. Kat,5,Kombi Doğalgaz,30 TL,2.000 TL,1,1,Hayır,Boş,Güngören
"1,200TL",22 Şubat 2021,Konut,Kiralık,Betonarme,70 m2,75 m2,1+1,2,1. Kat,19,Kombi Doğalgaz,200 TL,Belirtilmemiş,1,1,Hayır,Boş,Esenyurt
"1,300TL",22 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,110 m2,2+1,11-20,2. Kat,2,Kombi Doğalgaz,Belirtilmemiş,1.300 TL,1,1,Hayır,Boş,Kartal
"2,500TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,85 m2,100 m2,2+1,0 (Yeni),1. Kat,9,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Çekmeköy
"2,200TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,40 m2,62 m2,1+1,5-10,8. Kat,30,Merkezi (Pay Ölçer),450 TL,4.400 TL,1,1,Evet,Boş,Başakşehir
"1,650TL",23 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,100 m2,2+1,5-10,Yüksek Giriş,5,Kombi Doğalgaz,20 TL,2.000 TL,2,1,Hayır,Boş,Eyüpsultan
"3,250TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,80 m2,87 m2,2+1,11-20,7. Kat,9,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Başakşehir
"1,600TL",22 Şubat 2021,Konut,Kiralık,Betonarme,115 m2,130 m2,3+1,11-20,2. Kat,4,Kombi Doğalgaz,20 TL,1.600 TL,1,1,Hayır,Boş,Kağıthane
"1,900TL",23 Şubat 2021,Konut,Kiralık,Betonarme,80 m2,85 m2,2+1,20 Ve Üzeri,Düz Giriş,4,Kombi Doğalgaz,20 TL,Belirtilmemiş,1,1,Hayır,Eşyalı,Bahçelievler
"2,650TL",23 Şubat 2021,Konut,Kiralık,Betonarme,60 m2,65 m2,1+1,5-10,3. Kat,5,Kombi Doğalgaz,70 TL,3.500 TL,1,1,Hayır,Eşyalı,Şişli
900TL,23 Şubat 2021,Konut,Kiralık,Betonarme,65 m2,75 m2,1+1,5-10,Bahçe Katı,4,Doğalgaz Sobalı,Belirtilmemiş,900 TL,1,1,Hayır,Boş,Gaziosmanpaşa
"1,400TL",22 Şubat 2021,Konut,Kiralık,Betonarme,94 m2,105 m2,2+1,0 (Yeni),2. Kat,4,Kombi Doğalgaz,Belirtilmemiş,1.400 TL,1,2,Hayır,Boş,Esenyurt
850TL,23 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,85 m2,1+1,4,Yüksek Giriş,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,2,Hayır,Boş,Esenyurt
"2,700TL",22 Şubat 2021,Konut,Kiralık,Betonarme,60 m2,70 m2,1+1,0 (Yeni),3. Kat,4,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Eyüpsultan
"1,600TL",23 Şubat 2021,Konut,Kiralık,Betonarme,70 m2,75 m2,2+1,11-20,3. Kat,6,Kombi Doğalgaz,10 TL,1.600 TL,1,1,Hayır,Boş,Şişli
"2,000TL",23 Şubat 2021,Konut,Kiralık,Betonarme,85 m2,100 m2,2+1,11-20,3. Kat,3,Kombi Doğalgaz,30 TL,2.000 TL,1,1,Hayır,Boş,Kadıköy
"7,600TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,187 m2,230 m2,4+1,3,8. Kat,22,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,3,Belirtilmemiş,Hayır,Belirtilmemiş,Gaziosmanpaşa Kiralık Residenc
"3,850TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,45 m2,65 m2,1+1,0 (Yeni),1. Kat,12,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Kağıthane
"1,500TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,100 m2,2+1,11-20,Kot 1,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Ümraniye
"2,550TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,93 m2,105 m2,2+1,3,13. Kat,22,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Esenyurt Kiralık Residenc
"1,700TL",22 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,85 m2,2+1,3,Kot 1,4,Merkezi Doğalgaz,50 TL,1.700 TL,1,1,Hayır,Boş,Kağıthane
"1,300TL",22 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,95 m2,2+1,11-20,2. Kat,5,Kombi Doğalgaz,0 TL,1.300 TL,1,1,Hayır,Belirtilmemiş,Sultangazi
"2,000TL",22 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,80 m2,2+1,20 Ve Üzeri,3. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Şişli
"1,600TL",22 Şubat 2021,Konut,Kiralık,Betonarme,130 m2,135 m2,3+1,20 Ve Üzeri,Bahçe Dublex,4,Kombi Doğalgaz,30 TL,1.600 TL,Yok,2,Hayır,Boş,Avcılar
"2,500TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,75 m2,2+1,0 (Yeni),3. Kat,6,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Başakşehir
"1,700TL",22 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,91 m2,3+1,20 Ve Üzeri,6. Kat,6,Kombi Doğalgaz,30 TL,1.700 TL,1,1,Hayır,Boş,Kağıthane
"2,000TL",22 Şubat 2021,Konut,Kiralık,Betonarme,70 m2,75 m2,1+1,20 Ve Üzeri,Yarı Bodrum,5,Kombi Doğalgaz,30 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Beşiktaş
"1,200TL",23 Şubat 2021,Konut,Kiralık,Betonarme,38 m2,50 m2,1 Oda,1,10. Kat,13,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Eşyalı,Esenyurt
"2,850TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,50 m2,60 m2,1+1,1,4. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Kağıthane
"1,300TL",23 Şubat 2021,Konut,Kiralık,Betonarme,120 m2,125 m2,3+1,11-20,3. Kat,3,Kombi Doğalgaz,0 TL,1.300 TL,1,1,Hayır,Boş,Sancaktepe
"3,500TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,110 m2,120 m2,3+1,20 Ve Üzeri,1. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Fatih
"1,650TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,115 m2,120 m2,2+1,20 Ve Üzeri,2. Kat,5,Kombi Doğalgaz,0 TL,1.650 TL,1,Belirtilmemiş,Hayır,Belirtilmemiş,Bahçelievler
"1,400TL",22 Şubat 2021,Konut,Kiralık,Betonarme,79 m2,80 m2,2+1,11-20,3. Kat,6,Doğalgaz Sobalı,30 TL,1.500 TL,1,1,Hayır,Boş,Bahçelievler
"1,700TL",22 Şubat 2021,Konut,Kiralık,Betonarme,120 m2,1.130 m2,3+1,20 Ve Üzeri,Çatı Katı,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Bayrampaşa
"1,400TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,65 m2,70 m2,1+1,20 Ve Üzeri,3. Kat,5,Kombi Doğalgaz,20 TL,1.400 TL,1,1,Hayır,Belirtilmemiş,Bayrampaşa
"1,300TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,60 m2,65 m2,1+1,20 Ve Üzeri,1. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,1,Hayır,Belirtilmemiş,Zeytinburnu
"2,500TL",23 Şubat 2021,Konut,Kiralık,Betonarme,105 m2,120 m2,3+1,20 Ve Üzeri,4. Kat,6,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,2,Hayır,Eşyalı,Bahçelievler
"2,300TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,80 m2,100 m2,2+1,1,7. Kat,10,Merkezi (Pay Ölçer),100 TL,3.600 TL,1,1,Hayır,Boş,Küçükçekmece
700TL,23 Şubat 2021,Konut,Kiralık,Betonarme,55 m2,60 m2,1+1,20 Ve Üzeri,Çatı Katı,5,Sobalı,10 TL,700 TL,1,1,Hayır,Boş,Eyüpsultan
"1,100TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,40 m2,45 m2,Stüdyo,1,Düz Giriş,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Maltepe
"2,500TL",22 Şubat 2021,Konut,Kiralık,Betonarme,80 m2,90 m2,2+1,4,1. Kat,4,Kombi Doğalgaz,40 TL,5.000 TL,Yok,1,Hayır,Eşyalı,Avcılar
"5,500TL",22 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,80 m2,1+1,5-10,Yüksek Giriş,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"1,500TL",23 Şubat 2021,Konut,Kiralık,Betonarme,95 m2,100 m2,2+1,5-10,1. Kat,1,Kombi Doğalgaz,0 TL,1.500 TL,1,1,Hayır,Boş,Sarıyer
"1,500TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,100 m2,110 m2,3+1,20 Ve Üzeri,5. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,2,Hayır,Boş,Ümraniye
"1,250TL",22 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,80 m2,2+1,0 (Yeni),1. Kat,4,Kombi Doğalgaz,40 TL,1.250 TL,1,1,Hayır,Boş,Çekmeköy
"1,500TL",22 Şubat 2021,Konut,Kiralık,Betonarme,80 m2,85 m2,1+1,11-20,Yarı Bodrum,4,Kombi Doğalgaz,25 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"1,500TL",23 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,100 m2,2+1,20 Ve Üzeri,3. Kat,3,Doğalgaz Sobalı,30 TL,2.500 TL,1,1,Hayır,Boş,Esenler
"1,800TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,125 m2,130 m2,3+1,20 Ve Üzeri,5. Kat,5,Kombi Doğalgaz,0 TL,2.000 TL,1,Belirtilmemiş,Hayır,Belirtilmemiş,Bahçelievler
"4,000TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,100 m2,2+1,0 (Yeni),1. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Bahçelievler
"2,100TLarrow_downward",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,85 m2,90 m2,2+1,20 Ve Üzeri,Düz Giriş,4,Kombi Doğalgaz,Belirtilmemiş,2.000 TL,1,Belirtilmemiş,Hayır,Eşyalı,Üsküdar
"1,600TL",22 Şubat 2021,Konut,Kiralık,Betonarme,70 m2,75 m2,2+1,5-10,1. Kat,4,Kombi Doğalgaz,25 TL,1.600 TL,1,1,Hayır,Boş,Üsküdar
"1,250TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,100 m2,2+1,5-10,3. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Arnavutköy
"1,500TL",22 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,85 m2,2+1,20 Ve Üzeri,Bahçe Katı,3,Kombi Doğalgaz,Belirtilmemiş,2.000 TL,1,1,Hayır,Boş,Maltepe
"1,700TL",22 Şubat 2021,Konut,Kiralık,Betonarme,70 m2,85 m2,2+1,4,2. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Belirtilmemiş,Ümraniye
"3,050TL",22 Şubat 2021,Konut,Kiralık,Betonarme,110 m2,115 m2,3+1,0 (Yeni),3. Kat,5,Kombi Doğalgaz,Belirtilmemiş,3.050 TL,1,1,Hayır,Belirtilmemiş,Kağıthane
"1,750TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,75 m2,99 m2,2+1,2,4. Kat,5,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Tuzla
"4,500TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,95 m2,150 m2,2+1,4,21. Kat,26,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Gaziosmanpaşa
"1,450TL",22 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,105 m2,2+1,5-10,2. Kat,3,Kombi Doğalgaz,30 TL,14.500 TL,1,2,Hayır,Boş,Pendik
"2,650TL",22 Şubat 2021,Konut,Kiralık,Betonarme,140 m2,150 m2,5+1,11-20,3. Kat,3,Kombi Doğalgaz,200 TL,2.650 TL,3,1,Hayır,Boş,Ataşehir
"1,850TL",22 Şubat 2021,Konut,Kiralık,Betonarme,100 m2,110 m2,2+1,20 Ve Üzeri,2. Kat,4,Kombi Doğalgaz,20 TL,1.000 TL,1,2,Hayır,Boş,Avcılar
"2,800TL",23 Şubat 2021,Konut,Kiralık,Betonarme,100 m2,110 m2,2+1,20 Ve Üzeri,2. Kat,5,Merkezi Doğalgaz,Belirtilmemiş,2.800 TL,1,1,Hayır,Boş,Kağıthane
"2,200TL",22 Şubat 2021,Konut,Kiralık,Betonarme,36 m2,53 m2,Stüdyo,5-10,16. Kat,30,Merkezi (Pay Ölçer),380 TL,4.400 TL,1,1,Hayır,Boş,Başakşehir
"2,500TL",22 Şubat 2021,Konut,Kiralık,Betonarme,98 m2,110 m2,3+1,20 Ve Üzeri,3. Kat,4,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,2,Hayır,Boş,Bahçelievler
"1,000TLarrow_downward",24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,130 m2,150 m2,2+1,5-10,2. Kat,4,Kombi Doğalgaz,0 TL,0 TL,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sultanbeyli
